id,jozz,sura_no,sura_name_en,sura_name_ar,page,line_start,line_end,aya_no,aya_text,aya_text_emlaey,type
6126,30,97,Al-Qadr,القَدر,598,6,6,1,,,S
6131,30,98,Al-Bayyinah,البَينَة,598,11,12,1,,,S
6139,30,99,Az-Zalzalah,الزَّلزَلة,599,8,8,1,,,S
6147,30,100,Al-‘Ādiyāt,العَاديَات,599,14,14,1,,,S
6158,30,101,Al-Qāri‘ah,القَارعَة,600,6,6,1,,,S
6169,30,102,At-Takāthur,التَّكاثُر,600,13,13,1,,,S
6177,30,103,Al-‘Aṣr,العَصر,601,3,3,1,,,S
6180,30,104,Al-Humazah,الهُمَزة,601,7,7,1,,,S
6189,30,105,Al-Fīl,الفِيل,601,13,13,1,,,S
6194,30,106,Quraish,قُرَيش,602,3,3,1,,,S
6198,30,107,Al-Mā‘ūn,المَاعُون,602,8,8,1,,,S
6205,30,108,Al-Kauthar,الكَوثر,602,14,14,1,,,S
6208,30,109,Al-Kāfirūn,الكافِرون,603,3,3,1,,,S
6214,30,110,An-Naṣr,النَّصر,603,8,8,1,,,S
6217,30,111,Al-Masad,المَسَد,603,13,13,1,,,S
6222,30,112,Al-Ikhlāṣ,الإخلَاص,604,3,3,1,,,S
6226,30,113,Al-Falaq,الفَلَق,604,7,7,1,,,S
6231,30,114,An-Nās,النَّاس,604,12,12,1,,,S
